"Vase.Number";"Technique";"DAT_min";"DAT_max"
"22893";25228;"RED-FIGURE";-400;-300
"54034";300049;"BLACK-FIGURE";-625;-575
"29212";42039;"BLACK-FIGURE";-525;-475
"22209";24538;"RED-FIGURE";-425;-375
"62110";331468;"BLACK-FIGURE";-525;-475
"45685";213564;"RED-FIGURE";-475;-425
"27633";31936;"BLACK-FIGURE";-575;-525
"587";624;"BLACK-FIGURE";-550;-500
"9810";10644;"RED-FIGURE";-450;-400
"23146";25484;"BLACK-FIGURE";-550;-500
"18820";21037;"BLACK-FIGURE";-575;-525
"42852";210043;"RED-FIGURE";-475;-425
"61576";330929;"BLACK-FIGURE";-550;-500
"45391";213270;"RED-FIGURE";-475;-425
"26591";30848;"BLACK-FIGURE";-550;-500
"18653";20459;"RED-FIGURE";-500;-450
"21544";23854;"RED-FIGURE";-525;-475
"34048";201123;"RED-FIGURE";-525;-475
"36531";203673;"RED-FIGURE";-500;-450
"17776";19547;"BLACK-FIGURE";-550;-500
"44464";212340;"RED-FIGURE";-475;-425
"83513";9004140;"RED-FIGURE";-425;-375
"98783";9019712;"RED-FIGURE";-475;-425
"33837";200909;"RED-FIGURE";-525;-475
"63954";350392;"BLACK-FIGURE";-575;-525
"11706";12742;"RED-FIGURE";-450;-400
"20460";22753;"RED-FIGURE";-425;-375
"21666";23979;"BLACK-FIGURE";-550;-500
"25333";29533;"RED-FIGURE";-425;-375
"15866";17591;"RED-FIGURE";-500;-450
"19874";22144;"RED-FIGURE";-500;-450
"34774";201888;"RED-FIGURE";-500;-450
"50495";218390;"RED-FIGURE";-400;-300
"3183";3472;"RED-FIGURE";-475;-425
"5155";5674;"BLACK-FIGURE";-525;-475
"11159";12161;"RED-FIGURE";-450;-400
"57421";303483;"BLACK-FIGURE";-550;-500
"13575";14707;"RED-FIGURE";-475;-425
"33114";200176;"RED-FIGURE";-525;-475
"22936";25271;"RED-FIGURE";-525;-475
"13180";14293;"BLACK-FIGURE";-525;-475
"12782";13881;"BLACK-FIGURE";-525;-475
"21268";23576;"BLACK-FIGURE";-525;-475
"17787";19558;"BLACK-FIGURE";-500;-450
"99328";9020259;"RED-FIGURE";-450;-400
"8000";8713;"RED-FIGURE";-500;-450
"20017";22294;"BLACK-FIGURE";-525;-475
"81365";9001947;"RED-FIGURE";-400;-300
"24125";28283;"BLACK-FIGURE";-575;-525
"42062";209246;"RED-FIGURE";-500;-450
"18363";20157;"BLACK-FIGURE";-550;-500
"64088";350728;"BLACK-FIGURE";-575;-525
"62855";332222;"BLACK-FIGURE";-550;-500
"59750";310141;"BLACK-FIGURE";-575;-525
"7345";8016;"BLACK-FIGURE";-550;-500
"23894";28040;"BLACK-FIGURE";-550;-500
"13460";14579;"BLACK-FIGURE";-550;-500
"51196";230155;"RED-FIGURE";-425;-375
"7839";8540;"BLACK-FIGURE";-575;-525
"39302";206468;"RED-FIGURE";-500;-450
"49017";216906;"RED-FIGURE";-450;-400
"49528";217419;"RED-FIGURE";-450;-400
"15223";16529;"BLACK-FIGURE";-525;-475
"66759";390328;"BLACK-FIGURE";-525;-475
"61221";330563;"BLACK-FIGURE";-550;-500
"87014";9007700;"BLACK-FIGURE";-550;-500
"42001";209185;"RED-FIGURE";-475;-425
"21372";23681;"BLACK-FIGURE";-525;-475
"30119";43775;"RED-FIGURE";-425;-375
"42930";210123;"RED-FIGURE";-475;-425
"56265";302314;"BLACK-FIGURE";-550;-500
"39133";206299;"RED-FIGURE";-500;-450
"56702";302752;"BLACK-FIGURE";-550;-500
"43392";211266;"RED-FIGURE";-500;-450
"29672";43315;"BLACK-FIGURE";-500;-450
"23954";28103;"RED-FIGURE";-450;-400
"22522";24852;"BLACK-FIGURE";-525;-475
"28149";32471;"BLACK-FIGURE";-550;-500
"25395";29597;"RED-FIGURE";-425;-375
"62234";331595;"BLACK-FIGURE";-525;-475
"45771";213650;"RED-FIGURE";-475;-425
"57147";303206;"BLACK-FIGURE";-550;-500
"14928";16203;"RED-FIGURE";-400;-300
"50053";217944;"RED-FIGURE";-400;-300
"26900";31165;"BLACK-FIGURE";-500;-450
"55108";301131;"BLACK-FIGURE";-575;-525
"1245";1343;"BLACK-FIGURE";-525;-475
"5116";5634;"BLACK-FIGURE";-500;-450
"26250";30487;"BLACK-FIGURE";-550;-500
"59012";306412;"BLACK-FIGURE";-525;-475
"12444";13522;"BLACK-FIGURE";-550;-500
"48524";216411;"RED-FIGURE";-450;-400
"5379";5917;"BLACK-FIGURE";-550;-500
"51728";230687;"RED-FIGURE";-400;-300
"91464";9012187;"RED-FIGURE";-475;-425
"34784";201898;"RED-FIGURE";-500;-450
"57072";303131;"BLACK-FIGURE";-500;-450
"50165";218057;"RED-FIGURE";-400;-300
"39053";206219;"RED-FIGURE";-500;-450
"43660";211534;"RED-FIGURE";-475;-425
"40506";207682;"RED-FIGURE";-475;-425
"40557";207733;"RED-FIGURE";-475;-425
"32669";46876;"RED-FIGURE";-525;-475
"29980";43630;"RED-FIGURE";-500;-450
"96771";9017645;"RED-FIGURE";-525;-475
"9307";10114;"BLACK-FIGURE";-575;-525
"29240";42067;"BLACK-FIGURE";-525;-475
"17198";18952;"RED-FIGURE";-500;-450
"63399";340624;"BLACK-FIGURE";-525;-475
"12655";13749;"BLACK-FIGURE";-525;-475
"26229";30463;"RED-FIGURE";-500;-450
"65339";352051;"BLACK-FIGURE";-525;-475
"28297";41099;"RED-FIGURE";-500;-450
"4825";5313;"BLACK-FIGURE";-500;-450
"64846";351537;"BLACK-FIGURE";-525;-475
"41704";208887;"RED-FIGURE";-475;-425
"24960";29152;"RED-FIGURE";-475;-425
"33600";200667;"RED-FIGURE";-525;-475
"52421";250007;"RED-FIGURE";-450;-400
"27357";31647;"BLACK-FIGURE";-525;-475
"58857";306254;"BLACK-FIGURE";-525;-475
"55308";301353;"BLACK-FIGURE";-575;-525
"10079";10925;"BLACK-FIGURE";-525;-475
"96309";9017175;"RED-FIGURE";-475;-425
"13687";14827;"RED-FIGURE";-450;-400
"19302";21544;"BLACK-FIGURE";-550;-500
"44219";212095;"RED-FIGURE";-475;-425
"32337";46540;"BLACK-FIGURE";-525;-475
"28735";41549;"RED-FIGURE";-475;-425
"49264";217155;"RED-FIGURE";-450;-400
"3255";3556;"RED-FIGURE";-475;-425
"63953";350391;"BLACK-FIGURE";-575;-525
"66638";390202;"BLACK-FIGURE";-525;-475
"19375";21632;"RED-FIGURE";-450;-400
"33867";200939;"RED-FIGURE";-525;-475
"65129";351824;"BLACK-FIGURE";-525;-475
"56372";302421;"BLACK-FIGURE";-575;-525
"64140";350781;"BLACK-FIGURE";-550;-500
"36426";203567;"RED-FIGURE";-500;-450
"99226";9020157;"RED-FIGURE";-400;-300
"62255";331616;"BLACK-FIGURE";-525;-475
"45412";213291;"RED-FIGURE";-475;-425
"32273";46475;"RED-FIGURE";-525;-475
"52099";231060;"RED-FIGURE";-400;-300
"55411";301456;"BLACK-FIGURE";-550;-500
"13893";15047;"RED-FIGURE";-500;-450
"39540";206711;"RED-FIGURE";-500;-450
"23201";25539;"BLACK-FIGURE";-525;-475
"49305";217196;"RED-FIGURE";-450;-400
"10328";11189;"RED-FIGURE";-400;-300
"95054";9015907;"BLACK-FIGURE";-550;-500
"63674";350067;"BLACK-FIGURE";-600;-550
"9468";10281;"RED-FIGURE";-425;-375
"18665";20471;"BLACK-FIGURE";-550;-500
"65336";352048;"BLACK-FIGURE";-525;-475
"59558";306967;"BLACK-FIGURE";-525;-475
"13158";14270;"RED-FIGURE";-525;-475
"50834";220493;"RED-FIGURE";-450;-400
"53345";275517;"RED-FIGURE";-450;-400
"34724";201838;"RED-FIGURE";-525;-475
"66710";390275;"BLACK-FIGURE";-525;-475
"52328";240062;"RED-FIGURE";-425;-375
"62307";331668;"BLACK-FIGURE";-525;-475
"13553";14683;"BLACK-FIGURE";-550;-500
"10085";10931;"RED-FIGURE";-450;-400
"60765";330103;"BLACK-FIGURE";-550;-500
"3723";4094;"RED-FIGURE";-425;-375
"53007";275175;"RED-FIGURE";-500;-450
"33567";200634;"RED-FIGURE";-525;-475
"56464";302514;"BLACK-FIGURE";-575;-525
"42215";209400;"RED-FIGURE";-500;-450
"19678";21946;"BLACK-FIGURE";-500;-450
"36558";203700;"RED-FIGURE";-525;-475
"66678";390242;"BLACK-FIGURE";-525;-475
"39369";206536;"RED-FIGURE";-500;-450
"556";593;"BLACK-FIGURE";-575;-525
"83018";9003632;"RED-FIGURE";-400;-300
"12209";13266;"RED-FIGURE";-525;-475
"50896";220554;"RED-FIGURE";-450;-400
"36987";204132;"RED-FIGURE";-500;-450
"52609";260001;"RED-FIGURE";-400;-300
"47931";215816;"RED-FIGURE";-450;-400
"51318";230277;"RED-FIGURE";-400;-300
"24236";28398;"BLACK-FIGURE";-525;-475
"47298";215181;"RED-FIGURE";-450;-400
"29651";43290;"BLACK-FIGURE";-525;-475
"19454";21718;"RED-FIGURE";-400;-300
"15032";16311;"BLACK-FIGURE";-525;-475
"53751";275925;"RED-FIGURE";-500;-450
"18152";19944;"RED-FIGURE";-450;-400
"102257";9023211;"BLACK-FIGURE";-550;-500
"51025";220683;"RED-FIGURE";-450;-400
"99367";9020298;"RED-FIGURE";-475;-425
"53744";275918;"RED-FIGURE";-500;-450
"32109";46308;"BLACK-FIGURE";-525;-475
"58084";305475;"BLACK-FIGURE";-550;-500
"99640";9020572;"RED-FIGURE";-450;-400
"17729";19495;"BLACK-FIGURE";-575;-525
"6859";7507;"RED-FIGURE";-525;-475
"41222";208404;"RED-FIGURE";-475;-425
"63076";340188;"RED-FIGURE";-500;-450
"5805";6385;"RED-FIGURE";-425;-375
"67002";390578;"BLACK-FIGURE";-525;-475
"48344";216229;"RED-FIGURE";-450;-400
"33378";200443;"RED-FIGURE";-525;-475
"785";846;"RED-FIGURE";-450;-400
"65958";361045;"BLACK-FIGURE";-525;-475
"9323";10130;"BLACK-FIGURE";-500;-450
"26380";30624;"RED-FIGURE";-400;-300
"20288";22577;"RED-FIGURE";-450;-400
"35139";202267;"RED-FIGURE";-500;-450
"39050";206216;"RED-FIGURE";-500;-450
"20329";22618;"RED-FIGURE";-450;-400
"27322";31606;"BLACK-FIGURE";-625;-575
"31891";46089;"RED-FIGURE";-400;-300
"54619";300642;"BLACK-FIGURE";-575;-525
"35248";202380;"RED-FIGURE";-500;-450
"40397";207573;"RED-FIGURE";-475;-425
"15293";16602;"BLACK-FIGURE";-575;-525
"43502";211376;"RED-FIGURE";-475;-425
"34593";201678;"RED-FIGURE";-525;-475
"50416";218310;"RED-FIGURE";-400;-300
"34303";201380;"RED-FIGURE";-525;-475
"12546";13630;"BLACK-FIGURE";-550;-500
"21252";23560;"BLACK-FIGURE";-525;-475
"61052";330393;"BLACK-FIGURE";-550;-500
"25574";29776;"BLACK-FIGURE";-525;-475
"64698";351364;"BLACK-FIGURE";-525;-475
"40981";208162;"RED-FIGURE";-475;-425
"18830";21047;"BLACK-FIGURE";-550;-500
"16578";18315;"BLACK-FIGURE";-550;-500
"11338";12355;"RED-FIGURE";-425;-375
"28926";41744;"BLACK-FIGURE";-525;-475
"49675";217566;"RED-FIGURE";-425;-375
"64311";350956;"BLACK-FIGURE";-550;-500
"59948";310339;"BLACK-FIGURE";-575;-525
"13284";14401;"BLACK-FIGURE";-575;-525
"30179";43835;"RED-FIGURE";-450;-400
"21314";23622;"BLACK-FIGURE";-550;-500
"37418";204565;"RED-FIGURE";-500;-450
"90568";9011279;"RED-FIGURE";-500;-450
"30238";43894;"RED-FIGURE";-400;-300
"52775";260168;"RED-FIGURE";-400;-300
"62923";340033;"RED-FIGURE";-450;-400
"66270";361365;"BLACK-FIGURE";-525;-475
"90031";9010739;"RED-FIGURE";-475;-425
"51309";230268;"RED-FIGURE";-400;-300
"25835";30043;"RED-FIGURE";-500;-450
"47132";215015;"RED-FIGURE";-450;-400
"47355";215238;"RED-FIGURE";-450;-400
"47422";215305;"RED-FIGURE";-450;-400
"37820";204977;"RED-FIGURE";-500;-450
"58075";305465;"RED-FIGURE";-525;-475
"65660";352404;"RED-FIGURE";-525;-475
"17825";19597;"RED-FIGURE";-400;-300
"45339";213217;"RED-FIGURE";-475;-425
"8206";8934;"RED-FIGURE";-450;-400
"66559";390122;"BLACK-FIGURE";-525;-475
"51427";230386;"RED-FIGURE";-400;-300
"24604";28779;"RED-FIGURE";-500;-450
"49462";217353;"RED-FIGURE";-450;-400
"86141";9006816;"BLACK-FIGURE";-525;-475
"11664";12697;"BLACK-FIGURE";-525;-475
"48436";216322;"RED-FIGURE";-450;-400
"57922";305312;"BLACK-FIGURE";-525;-475
"25276";29474;"RED-FIGURE";-450;-400
"50915";220573;"RED-FIGURE";-450;-400
"39534";206705;"RED-FIGURE";-500;-450
"29969";43619;"BLACK-FIGURE";-525;-475
"59649";310040;"BLACK-FIGURE";-575;-525
"66951";390525;"BLACK-FIGURE";-525;-475
"87775";9008464;"RED-FIGURE";-450;-400
"95252";9016106;"BLACK-FIGURE";-525;-475
"49067";216956;"RED-FIGURE";-450;-400
"9241";10039;"BLACK-FIGURE";-500;-450
"17575";19338;"BLACK-FIGURE";-550;-500
"87817";9008506;"RED-FIGURE";-425;-375
"28605";41414;"BLACK-FIGURE";-550;-500
"45213";213090;"RED-FIGURE";-475;-425
"41183";208365;"RED-FIGURE";-475;-425
"41360";208542;"RED-FIGURE";-475;-425
"34360";201441;"RED-FIGURE";-525;-475
"30259";43919;"BLACK-FIGURE";-525;-475
"25213";29411;"RED-FIGURE";-475;-425
"3914";4300;"RED-FIGURE";-425;-375
"24784";28970;"RED-FIGURE";-425;-375
"65042";351737;"BLACK-FIGURE";-525;-475
"39508";206678;"RED-FIGURE";-500;-450
"57452";303514;"BLACK-FIGURE";-550;-500
"61515";330868;"BLACK-FIGURE";-525;-475
"47661";215544;"RED-FIGURE";-450;-400
"59564";306973;"BLACK-FIGURE";-525;-475
"36953";204098;"RED-FIGURE";-500;-450
"26335";30579;"RED-FIGURE";-475;-425
"51719";230678;"RED-FIGURE";-400;-300
"33272";200336;"RED-FIGURE";-525;-475
"11946";12991;"RED-FIGURE";-500;-450
"51962";230921;"RED-FIGURE";-400;-300
"36250";203387;"RED-FIGURE";-500;-450
"40827";208007;"RED-FIGURE";-475;-425
"60171";310570;"BLACK-FIGURE";-575;-525
"64721";351387;"BLACK-FIGURE";-525;-475
"66063";361150;"BLACK-FIGURE";-525;-475
"32432";46638;"RED-FIGURE";-475;-425
"90207";9010918;"RED-FIGURE";-500;-450
"19820";22089;"RED-FIGURE";-500;-450
"66214";361304;"BLACK-FIGURE";-525;-475
"53239";275410;"RED-FIGURE";-475;-425
"11992";13044;"BLACK-FIGURE";-550;-500
"42440";209625;"RED-FIGURE";-475;-425
"40808";207988;"RED-FIGURE";-475;-425
"19708";21976;"RED-FIGURE";-500;-450
"17494";19253;"RED-FIGURE";-475;-425
"53812";275986;"RED-FIGURE";-500;-450
"35956";203092;"RED-FIGURE";-500;-450
"13260";14377;"BLACK-FIGURE";-600;-550
"12188";13243;"BLACK-FIGURE";-550;-500
"49006";216895;"RED-FIGURE";-450;-400
"6723";7364;"BLACK-FIGURE";-525;-475
"65703";352448;"RED-FIGURE";-525;-475
"45879";213758;"RED-FIGURE";-475;-425
"31102";44806;"BLACK-FIGURE";-500;-450
"47100";214983;"RED-FIGURE";-450;-400
"56596";302646;"BLACK-FIGURE";-575;-525
"59023";306423;"BLACK-FIGURE";-525;-475
"50918";220576;"RED-FIGURE";-450;-400
"23198";25536;"BLACK-FIGURE";-525;-475
"19960";22231;"RED-FIGURE";-500;-450
"6481";7108;"BLACK-FIGURE";-550;-500
"48862";216750;"RED-FIGURE";-450;-400
"15182";16481;"BLACK-FIGURE";-525;-475
"9008";9795;"BLACK-FIGURE";-525;-475
"36018";203155;"RED-FIGURE";-500;-450
"53092";275263;"RED-FIGURE";-500;-450
"33793";200865;"RED-FIGURE";-525;-475
"59450";306859;"BLACK-FIGURE";-525;-475
"58280";305674;"BLACK-FIGURE";-525;-475
"39013";206179;"RED-FIGURE";-500;-450
"66184";361274;"BLACK-FIGURE";-525;-475
"16268";18004;"RED-FIGURE";-475;-425
"62997";340107;"RED-FIGURE";-400;-300
"55022";301045;"BLACK-FIGURE";-575;-525
"14838";16111;"RED-FIGURE";-450;-400
"30258";43918;"RED-FIGURE";-400;-300
"31042";44746;"BLACK-FIGURE";-575;-525
"53372";275545;"RED-FIGURE";-425;-375
"44595";212472;"RED-FIGURE";-475;-425
"41395";208577;"RED-FIGURE";-475;-425
"10772";11751;"BLACK-FIGURE";-525;-475
"5118";5636;"BLACK-FIGURE";-500;-450
"51092";230050;"RED-FIGURE";-425;-375
"25189";29387;"BLACK-FIGURE";-550;-500
"59808";310199;"BLACK-FIGURE";-575;-525
"59546";306955;"BLACK-FIGURE";-525;-475
"50371";218265;"RED-FIGURE";-400;-300
"16309";18045;"BLACK-FIGURE";-550;-500
"23429";25806;"RED-FIGURE";-475;-425
"35408";202540;"RED-FIGURE";-500;-450
"61244";330586;"BLACK-FIGURE";-525;-475
"43005";210198;"RED-FIGURE";-475;-425
"44961";212838;"RED-FIGURE";-475;-425
"36072";203209;"RED-FIGURE";-500;-450
"36545";203687;"RED-FIGURE";-500;-450
"44206";212082;"RED-FIGURE";-475;-425
"52367";240101;"BLACK-FIGURE";-425;-375
"11080";12078;"RED-FIGURE";-500;-450
"24134";28292;"BLACK-FIGURE";-550;-500
"62874";332241;"BLACK-FIGURE";-550;-500
"40970";208151;"RED-FIGURE";-475;-425
"44078";211953;"RED-FIGURE";-475;-425
"94797";9015648;"RED-FIGURE";-475;-425
"29095";41919;"BLACK-FIGURE";-575;-525
"47009";214892;"RED-FIGURE";-450;-400
"13706";14847;"RED-FIGURE";-400;-300
"42013";209197;"RED-FIGURE";-475;-425
"36717";203859;"RED-FIGURE";-500;-450
"60050";310443;"BLACK-FIGURE";-575;-525
"54204";300223;"BLACK-FIGURE";-600;-550
"51018";220676;"RED-FIGURE";-450;-400
"17992";19779;"BLACK-FIGURE";-525;-475
"22469";24799;"BLACK-FIGURE";-600;-550
"57250";303311;"BLACK-FIGURE";-550;-500
"35159";202287;"RED-FIGURE";-525;-475
"63800";350193;"BLACK-FIGURE";-600;-550
"56194";302243;"BLACK-FIGURE";-550;-500
"61509";330862;"BLACK-FIGURE";-525;-475
"39078";206244;"RED-FIGURE";-500;-450
"12557";13641;"BLACK-FIGURE";-550;-500
"53676";275850;"RED-FIGURE";-500;-450
"11201";12205;"BLACK-FIGURE";-500;-450
"37197";204343;"RED-FIGURE";-500;-450
"29761";43406;"BLACK-FIGURE";-550;-500
"56942";303001;"BLACK-FIGURE";-550;-500
"36967";204112;"RED-FIGURE";-500;-450
"48448";216334;"RED-FIGURE";-450;-400
"56694";302744;"BLACK-FIGURE";-575;-525
"18023";19811;"BLACK-FIGURE";-500;-450
"52852";275018;"RED-FIGURE";-525;-475
"9986";10830;"BLACK-FIGURE";-550;-500
"13922";15078;"RED-FIGURE";-425;-375
"57663";305053;"BLACK-FIGURE";-600;-550
"34092";201167;"RED-FIGURE";-525;-475
"51866";230825;"RED-FIGURE";-400;-300
"86370";9007048;"BLACK-FIGURE";-525;-475
"47382";215265;"RED-FIGURE";-450;-400
"46402";214285;"RED-FIGURE";-475;-425
"36256";203393;"RED-FIGURE";-500;-450
"37112";204257;"RED-FIGURE";-500;-450
"12504";13584;"BLACK-FIGURE";-600;-550
"6667";7298;"BLACK-FIGURE";-600;-550
"1466";1595;"BLACK-FIGURE";-500;-450
"22705";25036;"BLACK-FIGURE";-525;-475
"26687";30948;"BLACK-FIGURE";-575;-525
"3954";4342;"BLACK-FIGURE";-525;-475
"13237";14354;"BLACK-FIGURE";-600;-550
"22772";25103;"BLACK-FIGURE";-550;-500
"61537";330890;"BLACK-FIGURE";-525;-475
"45143";213020;"RED-FIGURE";-475;-425
"9649";10470;"BLACK-FIGURE";-575;-525
"43038";210231;"RED-FIGURE";-475;-425
"83027";9003644;"RED-FIGURE";-525;-475
"899";967;"BLACK-FIGURE";-575;-525
"35620";202755;"RED-FIGURE";-500;-450
"19648";21916;"RED-FIGURE";-500;-450
"47463";215346;"RED-FIGURE";-450;-400
"7893";8597;"RED-FIGURE";-475;-425
"34005";201078;"RED-FIGURE";-525;-475
"195";204;"BLACK-FIGURE";-525;-475
"28970";41788;"RED-FIGURE";-500;-450
"47982";215867;"RED-FIGURE";-450;-400
"60149";310548;"BLACK-FIGURE";-575;-525
"42375";209560;"RED-FIGURE";-475;-425
"15272";16579;"BLACK-FIGURE";-575;-525
"2615";2856;"RED-FIGURE";-425;-375
"27847";32158;"BLACK-FIGURE";-550;-500
"40318";207494;"RED-FIGURE";-475;-425
"99284";9020215;"RED-FIGURE";-475;-425
"9157";9954;"RED-FIGURE";-475;-425
"62577";331939;"BLACK-FIGURE";-550;-500
"22527";24857;"BLACK-FIGURE";-575;-525
"16392";18128;"BLACK-FIGURE";-525;-475
"60103";310497;"BLACK-FIGURE";-575;-525
"5172";5692;"BLACK-FIGURE";-525;-475
"24185";28346;"BLACK-FIGURE";-575;-525
"10475";11344;"BLACK-FIGURE";-525;-475
"27871";32182;"BLACK-FIGURE";-550;-500
"61668";331021;"BLACK-FIGURE";-550;-500
"55266";301311;"BLACK-FIGURE";-550;-500
"17932";19718;"BLACK-FIGURE";-500;-450
"47292";215175;"RED-FIGURE";-450;-400
"34201";201277;"RED-FIGURE";-525;-475
"34695";201809;"RED-FIGURE";-525;-475
"18891";21114;"RED-FIGURE";-500;-450
"58048";305438;"BLACK-FIGURE";-525;-475
"28640";41449;"RED-FIGURE";-500;-450
"23217";25555;"BLACK-FIGURE";-550;-500
"32792";47004;"BLACK-FIGURE";-600;-550
"63304";340528;"BLACK-FIGURE";-550;-500
"54534";300556;"BLACK-FIGURE";-575;-525
"14822";16092;"BLACK-FIGURE";-575;-525
"43499";211373;"RED-FIGURE";-475;-425
"48503";216389;"RED-FIGURE";-450;-400
"43859";211733;"RED-FIGURE";-475;-425
"53306";275478;"RED-FIGURE";-450;-400
"58527";305921;"BLACK-FIGURE";-525;-475
"66936";390508;"BLACK-FIGURE";-525;-475
"23081";25419;"RED-FIGURE";-400;-300
"34359";201440;"RED-FIGURE";-525;-475
"24047";28199;"BLACK-FIGURE";-550;-500
"53763";275937;"RED-FIGURE";-500;-450
"58842";306239;"BLACK-FIGURE";-525;-475
"55239";301284;"BLACK-FIGURE";-550;-500
"63476";340703;"BLACK-FIGURE";-525;-475
"33976";201048;"RED-FIGURE";-525;-475
"45137";213014;"RED-FIGURE";-475;-425
"62876";332243;"BLACK-FIGURE";-550;-500
"51529";230488;"RED-FIGURE";-400;-300
"44198";212074;"RED-FIGURE";-475;-425
"23101";25439;"RED-FIGURE";-450;-400
"38462";205627;"RED-FIGURE";-500;-450
"46909";214792;"RED-FIGURE";-475;-425
"7502";8180;"BLACK-FIGURE";-600;-550
"26964";31230;"BLACK-FIGURE";-600;-550
"65530";352269;"BLACK-FIGURE";-525;-475
"45151";213028;"RED-FIGURE";-475;-425
"29538";43174;"RED-FIGURE";-450;-400
"15732";17065;"BLACK-FIGURE";-550;-500
"10639";11614;"RED-FIGURE";-450;-400
"53819";275993;"RED-FIGURE";-500;-450
"65677";352422;"RED-FIGURE";-525;-475
